Date,Date entered,Reference,Description,Amount,
01/05/2024,02/05/2024,40000125,NON-STERLING TRANSACTIO ,0.16,
01/05/2024,02/05/2024,40000125,UBER   *TRIP            ,5.45,
01/05/2024,02/05/2024,00000033,LONDIS VILLAGE SHOP     ,10.07,
30/04/2024,02/05/2024,50000029,PAYPAL *SPOTIFY         ,10.99,
30/04/2024,01/05/2024,50000113,NON-STERLING TRANSACTIO ,0.27,
30/04/2024,01/05/2024,50000113,APTEKA MEDICOVER        ,9.28,
30/04/2024,01/05/2024,50000108,NON-STERLING TRANSACTIO ,1.44,
30/04/2024,01/05/2024,50000108,CM MEDICOVER            ,48.83,
30/04/2024,01/05/2024,50000105,NON-STERLING TRANSACTIO ,0.39,
30/04/2024,01/05/2024,50000105,PIEKARNIA BUCZEK        ,13.47,
30/04/2024,01/05/2024,90000117,NON-STERLING TRANSACTIO ,0.52,
30/04/2024,01/05/2024,90000117,pyszne.pl               ,17.94,
30/04/2024,01/05/2024,50000049,NON-STERLING TRANSACTIO ,0.14,
30/04/2024,01/05/2024,50000049,KAUFLAND 02             ,4.81,
30/04/2024,01/05/2024,20000015,NON-STERLING TRANSACTIO ,0.13,
30/04/2024,01/05/2024,20000015,UBER   *TRIP            ,4.64,
30/04/2024,01/05/2024,10000227,NON-STERLING TRANSACTIO ,0.15,
30/04/2024,01/05/2024,10000227,UBER   *TRIP            ,5.28,
30/04/2024,01/05/2024,10000176,NON-STERLING TRANSACTIO ,0.11,
30/04/2024,01/05/2024,10000176,COSTA COFFEE 107        ,3.80,
30/04/2024,01/05/2024,20000126,NON-STERLING TRANSACTIO ,0.14,
30/04/2024,01/05/2024,20000126,Good Lood               ,4.78,
29/04/2024,30/04/2024,60000028,NON-STERLING TRANSACTIO ,0.18,
29/04/2024,30/04/2024,60000028,CUKIERNIA ZAJAC         ,6.39,
29/04/2024,30/04/2024,60000026,NON-STERLING TRANSACTIO ,0.86,
29/04/2024,30/04/2024,60000026,FAJNA BAWIALNIA         ,29.46,
29/04/2024,30/04/2024,30000039,NON-STERLING TRANSACTIO ,0.93,
29/04/2024,30/04/2024,30000039,lilou.pl                ,31.65,
29/04/2024,30/04/2024,30000031,NON-STERLING TRANSACTIO ,0.95,
29/04/2024,30/04/2024,30000031,e-torty.pl              ,32.40,
29/04/2024,30/04/2024,40000078,NON-STERLING TRANSACTIO ,0.09,
29/04/2024,30/04/2024,40000078,UBER   *TRIP            ,3.20,
29/04/2024,30/04/2024,20000158,NON-STERLING TRANSACTIO ,0.08,
29/04/2024,30/04/2024,20000158,UBER *TRIP HELP.UBER.C  ,3.00,
29/04/2024,30/04/2024,10000086,ASDA SUPERSTORE         ,12.26,
29/04/2024,30/04/2024,90000177,NORDICSPIRIT.CO.UK      ,26.00,
29/04/2024,29/04/2024,99596357,DIRECT DEBIT PAYMENT -  ,-500.00,
28/04/2024,29/04/2024,40000032,NON-STERLING TRANSACTIO ,0.71,
28/04/2024,29/04/2024,40000032,LIDL KOBIERZYNSKA       ,24.22,
28/04/2024,29/04/2024,40000025,NON-STERLING TRANSACTIO ,0.43,
28/04/2024,29/04/2024,40000025,LIDL KOBIERZYNSKA       ,14.65,
28/04/2024,29/04/2024,40000024,NON-STERLING TRANSACTIO ,0.87,
28/04/2024,29/04/2024,40000024,ROSSMANN 40             ,29.78,
26/04/2024,29/04/2024,40000106,NON-STERLING TRANSACTIO ,0.09,
26/04/2024,29/04/2024,40000106,PAINTBALL               ,3.18,
26/04/2024,29/04/2024,40000097,NON-STERLING TRANSACTIO ,0.52,
26/04/2024,29/04/2024,40000097,PIETKA PIEKARNIA        ,17.87,
26/04/2024,29/04/2024,50000162,NON-STERLING TRANSACTIO ,1.15,
26/04/2024,29/04/2024,50000162,LIDL KOBIERZYNSKA       ,39.02,
26/04/2024,26/04/2024,62205300,PAYMENT RECEIVED - THAN ,-1400.00,
25/04/2024,26/04/2024,70000234,NON-STERLING TRANSACTIO ,1.05,
25/04/2024,26/04/2024,70000234,LIDL KOBIERZYNSKA       ,35.81,
25/04/2024,26/04/2024,10000009,NON-STERLING TRANSACTIO ,2.06,
25/04/2024,26/04/2024,10000009,D.KWARTNIK STOMATOLOGI  ,69.94,
25/04/2024,26/04/2024,90000083,AMAZON* 204-5070375-82  ,8.99,
24/04/2024,25/04/2024,50000137,NON-STERLING TRANSACTIO ,0.26,
24/04/2024,25/04/2024,50000137,ROSSMANN 40             ,9.12,
24/04/2024,25/04/2024,30000155,NON-STERLING TRANSACTIO ,0.12,
24/04/2024,25/04/2024,30000155,UBER   *TRIP            ,4.17,
24/04/2024,25/04/2024,30000132,NON-STERLING TRANSACTIO ,0.08,
24/04/2024,25/04/2024,30000132,UBER   *TRIP            ,2.72,
24/04/2024,25/04/2024,20000053,NON-STERLING TRANSACTIO ,0.57,
24/04/2024,25/04/2024,20000053,ZIKO APTEKA 17          ,19.50,
24/04/2024,25/04/2024,20000132,Amazon Prime*H53N19474  ,8.99,
23/04/2024,24/04/2024,80000152,NON-STERLING TRANSACTIO ,0.01,
23/04/2024,24/04/2024,80000152,CUKIERNIA ZAJAC         ,0.56,
23/04/2024,24/04/2024,80000151,NON-STERLING TRANSACTIO ,0.12,
23/04/2024,24/04/2024,80000151,CUKIERNIA ZAJAC         ,4.15,
23/04/2024,24/04/2024,50000154,NON-STERLING TRANSACTIO ,0.19,
23/04/2024,24/04/2024,50000154,FAVORIT DULINSCY S.J.   ,6.76,
23/04/2024,24/04/2024,50000057,NON-STERLING TRANSACTIO ,0.55,
23/04/2024,24/04/2024,50000057,ZIKO APTEKA 17          ,18.83,
22/04/2024,24/04/2024,60000218,CAFFE NERO STANSTED CO  ,3.35,
22/04/2024,24/04/2024,70000164,RYANAIR     224NW9T5N   ,35.99,
22/04/2024,24/04/2024,40000128,PRET A MANGER           ,6.25,
22/04/2024,23/04/2024,70000171,RYANAIR                 ,11.35,
22/04/2024,23/04/2024,20000183,STN WDF MAIN            ,28.99,
22/04/2024,23/04/2024,30000201,TFL TRAVEL CH           ,3.70,
22/04/2024,23/04/2024,30000200,TFL TRAVEL CH           ,5.50,
22/04/2024,23/04/2024,10000027,UBER   *TRIP            ,13.03,
22/04/2024,23/04/2024,80000014,Amazon.co.uk*HD3EC47Q4  ,30.99,
22/04/2024,23/04/2024,90000035,BOOTS 1940              ,3.25,
22/04/2024,23/04/2024,00000126,STANSTED AIRPORT COACH  ,17.00,
21/04/2024,22/04/2024,70000168,LIDL GB LONDON          ,23.92,
21/04/2024,22/04/2024,10000103,ASDA SUPERSTORE         ,24.45,
21/04/2024,22/04/2024,40000129,WWW.POSTOFFICE.CO.UK    ,50.06,
21/04/2024,22/04/2024,70000169,AMAZON* 204-5772067-65  ,8.99,
20/04/2024,22/04/2024,70000094,Amazon.co.uk*HD3AK75Z4  ,34.63,
19/04/2024,22/04/2024,20000187,STANSTED EXPRESS        ,40.30,
18/04/2024,22/04/2024,20000024,TFL TRAVEL CH           ,7.40,
18/04/2024,19/04/2024,70000115,ASDA SUPERSTORE         ,46.00,
18/04/2024,19/04/2024,90000060,MML - TOWER PLACE EAST  ,2.85,
18/04/2024,19/04/2024,50000166,LIDL GB LONDON          ,43.22,
18/04/2024,19/04/2024,60000168,BBQ Burrito             ,9.50,
17/04/2024,18/04/2024,90000088,ASDA SUPERSTORE         ,9.25,
17/04/2024,18/04/2024,70000159,LIDL GB LONDON          ,68.77,
16/04/2024,17/04/2024,30000174,TFL TRAVEL CH           ,3.50,
16/04/2024,17/04/2024,10000157,TFL TRAVEL CH           ,7.40,
16/04/2024,17/04/2024,60000198,ASDA SUPERSTORE         ,2.00,
16/04/2024,17/04/2024,60000197,ASDA SUPERSTORE         ,25.94,
16/04/2024,17/04/2024,20000118,LIDL GB LONDON          ,13.47,
16/04/2024,17/04/2024,40000174,POUNDLAND - 2805        ,26.25,
16/04/2024,17/04/2024,90000080,Mama Li                 ,10.99,
15/04/2024,16/04/2024,30000197,JOPLINCLOUD.COM         ,2.56,
15/04/2024,16/04/2024,50000053,UBER   *TRIP            ,9.96,
15/04/2024,16/04/2024,50000004,UBER   *TRIP            ,9.95,
15/04/2024,16/04/2024,40000081,NORDICSPIRIT.CO.UK      ,26.00,
15/04/2024,16/04/2024,70000052,UBER* TRIP              ,1.00,
14/04/2024,15/04/2024,90000088,LIDL GB LONDON          ,26.54,
14/04/2024,15/04/2024,50000164,ASDA SUPERSTORE         ,21.95,
14/04/2024,15/04/2024,50000163,ASDA SUPERSTORE         ,1.30,
